idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s
1,2026-07-10T20:28:49.754548+02:00,llm_run01,llm,1001,buscar_google,"{""termino"": ""últimas noticias de tecnología""}",llm,ok,,ok,,12,10.86
2,2026-07-10T20:29:13.959300+02:00,llm_run01,llm,1001,mirar_youtube,"{""busqueda"": ""streaming en vivo de tecnología""}",llm,ok,,fallo,ver session.log,12,36.23
3,2026-07-10T20:30:07.404702+02:00,llm_run01,llm,1001,mirar_youtube,"{""busqueda"": ""videos educativos de programación""}",llm,ok,,ok,,18,143.29
4,2026-07-10T20:32:50.777478+02:00,llm_run01,llm,1001,usar_twitter,{},llm,ok,,fallo,ver session.log,12,34.59
5,2026-07-10T20:33:39.819803+02:00,llm_run01,llm,1001,usar_twitter,{},llm,ok,,fallo,ver session.log,12,32.94
6,2026-07-10T20:34:26.225285+02:00,llm_run01,llm,1001,mirar_youtube,"{""busqueda"": ""streaming en vivo de tecnología""}",llm,ok,,fallo,ver session.log,12,54.83
7,2026-07-10T20:35:35.333261+02:00,llm_run01,llm,1001,buscar_google,"{""termino"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,12,65.23
8,2026-07-10T20:36:54.719748+02:00,llm_run01,llm,1001,buscar_google,"{""termino"": ""últimas noticias de tecnología""}",llm,ok,,ok,,12,9.5
9,2026-07-10T20:37:19.266854+02:00,llm_run01,llm,1001,usar_twitter,{},llm,ok,,ok,,12,14.67
10,2026-07-10T20:37:48.564495+02:00,llm_run01,llm,1001,buscar_google,"{""termino"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,12,72.56
11,2026-07-10T20:39:16.468796+02:00,llm_run01,llm,1001,mirar_youtube,"{""busqueda"": ""streaming en vivo conciertos""}",llm,ok,,ok,,12,34.89
12,2026-07-10T20:40:05.772492+02:00,llm_run01,llm,1001,buscar_google,"{""termino"": ""noticias de tecnologia""}",llm,ok,,ok,,12,16.4
13,2026-07-10T20:40:35.422093+02:00,llm_run01,llm,1001,buscar_google,"{""termino"": ""noticias de tecnologia""}",llm,ok,,ok,,12,23.11
14,2026-07-10T20:41:13.151391+02:00,llm_run01,llm,1001,mirar_youtube,"{""busqueda"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,18,68.98
15,2026-07-10T20:42:41.032647+02:00,llm_run01,llm,1001,mirar_youtube,"{""busqueda"": ""videos de ciencia ficción""}",llm,ok,,ok,,18,73.32
1,2026-07-10T21:17:13.324540+02:00,llm_run02,llm,1002,mirar_youtube,"{""busqueda"": ""conciertos en vivo""}",llm,ok,,ok,,12,54.3
2,2026-07-10T21:18:21.649562+02:00,llm_run02,llm,1002,mirar_youtube,"{""busqueda"": ""educación en tecnología""}",llm,ok,,ok,,18,37.2
3,2026-07-10T21:19:18.805789+02:00,llm_run02,llm,1002,buscar_google,"{""termino"": ""noticias de última hora""}",llm,ok,,ok,,12,11.72
4,2026-07-10T21:19:43.729149+02:00,llm_run02,llm,1002,mirar_youtube,"{""busqueda"": ""tutoriales de programación en Python""}",llm,ok,,ok,,18,35.12
5,2026-07-10T21:20:40.150207+02:00,llm_run02,llm,1002,revisar_correo,{},llm,ok,,fallo,ver session.log,12,52.5
6,2026-07-10T21:21:47.555694+02:00,llm_run02,llm,1002,buscar_google,"{""termino"": ""noticias de tecnología""}",llm,ok,,ok,,12,22.89
7,2026-07-10T21:22:26.470771+02:00,llm_run02,llm,1002,mirar_youtube,"{""busqueda"": ""educación en tecnología""}",llm,ok,,ok,,18,38.01
8,2026-07-10T21:23:24.007016+02:00,llm_run02,llm,1002,mirar_youtube,"{""busqueda"": ""videos de tecnología""}",llm,ok,,ok,,18,73.73
9,2026-07-10T21:24:58.871665+02:00,llm_run02,llm,1002,mirar_youtube,"{""busqueda"": ""educación en tecnología""}",llm,ok,,ok,,18,36.8
10,2026-07-10T21:25:56.669607+02:00,llm_run02,llm,1002,buscar_google,"{""termino"": ""últimas noticias de tecnología""}",llm,ok,,ok,,12,104.06
11,2026-07-10T21:27:54.444347+02:00,llm_run02,llm,1002,mirar_youtube,"{""busqueda"": ""streaming en vivo de programación""}",llm,ok,,ok,,12,75.44
