idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-11T03:57:35.804636+02:00,random_run10,random,1010,ver_streaming,{},random,ok,,ok,,15,63.54,,,,
2,2026-07-11T03:58:56.901249+02:00,random_run10,random,1010,usar_twitter,{},random,ok,,ok,,10,14.73,,,,
3,2026-07-11T03:59:22.977065+02:00,random_run10,random,1010,revisar_correo,{},random,ok,,fallo,ver session.log,21,50.55,,,,
4,2026-07-11T04:00:36.940380+02:00,random_run10,random,1010,revisar_correo,{},random,ok,,fallo,ver session.log,13,50.12,,,,
5,2026-07-11T04:01:43.546129+02:00,random_run10,random,1010,buscar_google,"{""termino"": ""últimas noticias tecnología""}",random,ok,,ok,,21,15.62,,,,
6,2026-07-11T04:02:23.325239+02:00,random_run10,random,1010,abrir_url,"{""url"": ""https://www.genbeta.com""}",random,ok,,ok,,24,4.56,,,,
7,2026-07-11T04:02:54.627551+02:00,random_run10,random,1010,mirar_youtube,"{""busqueda"": ""noticias en vivo""}",random,ok,,ok,,16,35.81,,,,
8,2026-07-11T04:03:49.809423+02:00,random_run10,random,1010,ver_streaming,{},random,ok,,ok,,12,61.09,,,,
9,2026-07-11T04:05:04.347957+02:00,random_run10,random,1010,revisar_correo,{},random,ok,,fallo,ver session.log,23,51.6,,,,
10,2026-07-11T04:06:19.376819+02:00,random_run10,random,1010,usar_twitter,{},random,ok,,ok,,19,12.86,,,,
11,2026-07-11T04:06:52.957509+02:00,random_run10,random,1010,usar_twitter,{},random,ok,,ok,,10,12.92,,,,
12,2026-07-11T04:07:18.386164+02:00,random_run10,random,1010,abrir_url,"{""url"": ""https://www.genbeta.com""}",random,ok,,ok,,24,4.2,,,,
13,2026-07-11T04:07:48.563279+02:00,random_run10,random,1010,usar_twitter,{},random,ok,,ok,,17,12.74,,,,
14,2026-07-11T04:08:19.345187+02:00,random_run10,random,1010,ver_streaming,{},random,ok,,ok,,12,61.32,,,,
15,2026-07-11T04:09:36.808151+02:00,random_run10,random,1010,buscar_google,"{""termino"": ""python asyncio tutorial""}",random,ok,,ok,,24,76.57,,,,
16,2026-07-11T04:11:18.031598+02:00,random_run10,random,1010,ver_streaming,{},random,ok,,ok,,8,36.6,,,,
17,2026-07-11T04:12:05.740921+02:00,random_run10,random,1010,buscar_google,"{""termino"": ""tendencias ciberseguridad 2025""}",random,ok,,ok,,21,57.23,,,,
