idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-10T21:48:34.695184+02:00,rule_run02,rule,1002,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,24,15.84,,,,
2,2026-07-10T21:49:17.015105+02:00,rule_run02,rule,1002,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,21,5.85,,,,
3,2026-07-10T21:49:45.128881+02:00,rule_run02,rule,1002,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,15,33.02,,,,
4,2026-07-10T21:50:33.312099+02:00,rule_run02,rule,1002,revisar_correo,{},rule,ok,,fallo,ver session.log,12,50.62,,,,
5,2026-07-10T21:51:36.782764+02:00,rule_run02,rule,1002,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,12,55.43,,,,
6,2026-07-10T21:52:44.334179+02:00,rule_run02,rule,1002,usar_twitter,{},rule,ok,,ok,,16,15.64,,,,
7,2026-07-10T21:53:17.293399+02:00,rule_run02,rule,1002,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,23,105.55,,,,
8,2026-07-10T21:55:26.597034+02:00,rule_run02,rule,1002,ver_streaming,{},rule,ok,,ok,,12,67.56,,,,
9,2026-07-10T21:56:47.222015+02:00,rule_run02,rule,1002,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,10,15.83,,,,
10,2026-07-10T21:57:16.754815+02:00,rule_run02,rule,1002,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,21,5.84,,,,
11,2026-07-10T21:57:45.773652+02:00,rule_run02,rule,1002,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,24,35.92,,,,
12,2026-07-10T21:58:45.771986+02:00,rule_run02,rule,1002,revisar_correo,{},rule,ok,,fallo,ver session.log,9,49.5,,,,
13,2026-07-10T21:59:45.268874+02:00,rule_run02,rule,1002,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,15,51.66,,,,
14,2026-07-10T22:00:52.538039+02:00,rule_run02,rule,1002,usar_twitter,{},rule,ok,,ok,,15,13.74,,,,
15,2026-07-10T22:01:22.476093+02:00,rule_run02,rule,1002,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,9,102.7,,,,
16,2026-07-10T22:03:14.421369+02:00,rule_run02,rule,1002,ver_streaming,{},rule,ok,,ok,,21,63.98,,,,
