run_id,planner,run_dir,seed,status,inicio,duracion_solicitada_s,duracion_real_s,commit,n_errores,acc_emitidas,acc_validas,acc_rechazadas_validacion,acc_llm_intentos_rechazados,acc_fallbacks,acc_ejecutadas_ok,acc_ejecutadas_fallo,tasa_acciones_validas,fallback_rate,tasa_exec_ok,n_tipos_distintos,entropia_tipos,tasa_repeticion_inmediata,ratio_bigramas_unicos,packets,bytes,mbytes,traffic_duration_s,flows_total,unique_dst_ips,entropy_dst_ips,unique_dns_domains,entropy_dns_domains,pkts_tcp,pkts_udp,pkts_dns,pkts_http,pkts_https,pkts_quic,flow_duration_s_mean,flow_duration_s_median,flow_duration_s_p95,flow_bytes_mean,flow_bytes_median,flow_bytes_p95,flow_packets_mean,flow_packets_median,flow_packets_p95,packet_size_mean,packet_size_median,packet_size_p95,packet_iat_s_mean,packet_iat_s_median,packet_iat_s_p95
llm_run01,llm,C:\Users\juanc\Desktop\tfm\exp1\llm\run_01,1001,completed,2026-07-10T20:28:39.425931+02:00,900,911.2,8a1ef84052a2,0,15,15,0,0,0,11,4,1.0,0.0,0.7333,3,1.5219,0.3571,0.6429,218137,188566413,188.57,913.85,6440,510,2.7401,128,6.3581,130044,87553,16182,145,114582,86221,34.57065506318341,0.08378803730010986,244.94206055402753,29276.32903726708,404.0,18995.699999999946,33.788354037267084,6.0,44.0,864.4402966942793,1292.0,1466.0,0.0041893596977851276,0.0,0.007297039031982422
llm_run02,llm,C:\Users\juanc\Desktop\tfm\exp1\llm\run_02,1002,completed,2026-07-10T21:17:02.971604+02:00,900,918.8,8a1ef84052a2,0,14,14,0,0,0,13,1,1.0,0.0,0.9286,3,1.1981,0.3077,0.3846,53716,38767330,38.77,921.627,2908,256,3.0399,47,4.723,28910,24763,6316,62,23107,23792,24.337149287024424,0.06672000885009766,124.99326051473619,13330.209078404401,383.0,13694.2,18.457015130674,6.0,32.65000000000009,721.7091741752923,411.0,1466.0,0.017157728361548587,4.291534423828125e-05,0.018696761131286606
llm_run03,llm,C:\Users\juanc\Desktop\tfm\exp1\llm\run_03,1003,completed,2026-07-10T22:04:44.324244+02:00,900,900.5,8a1ef84052a2,0,16,16,0,0,0,14,2,1.0,0.0,0.875,4,1.8829,0.1333,0.6667,73437,56216596,56.22,902.967,3015,260,2.8946,23,3.5986,36938,36426,7542,10,29779,35633,23.69675415696987,0.07103919982910156,180.19837205410005,18643.96351575456,401.0,26191.099999999977,24.333001658374794,6.0,62.0,765.5077957977586,984.0,1466.0,0.012295966434987829,3.0040740966796875e-05,0.0193178653717041
llm_run04,llm,C:\Users\juanc\Desktop\tfm\exp1\llm\run_04,1004,completed,2026-07-10T22:53:41.079163+02:00,900,900.9,8a1ef84052a2,0,15,15,0,0,0,11,4,1.0,0.0,0.7333,4,1.9899,0.1429,0.7143,54780,41187548,41.19,902.768,2424,194,2.9311,29,3.933,31502,23207,5272,27,26625,22393,28.805942014990862,0.060158371925354004,239.6213596820829,16989.540429042903,381.0,20933.949999999968,22.569719471947195,6.0,47.0,751.871997079226,571.0,1466.0,0.016480177276947817,4.220008850097656e-05,0.019708466529846168
llm_run05,llm,C:\Users\juanc\Desktop\tfm\exp1\llm\run_05,1005,completed,2026-07-10T23:40:19.930418+02:00,900,960.5,8a1ef84052a2,0,17,17,0,0,0,13,4,1.0,0.0,0.7647,4,1.7034,0.25,0.625,49822,41599078,41.6,963.583,2219,142,2.6388,29,3.7293,25694,23986,4219,31,21942,23067,25.504113417049957,0.060163021087646484,170.96785378456067,18743.092383956737,378.0,18384.6,22.38846327174403,6.0,40.09999999999991,834.9539962265666,1111.0,1466.0,0.01934091045760718,2.6941299438476562e-05,0.025883913040161133
llm_run06,llm,C:\Users\juanc\Desktop\tfm\exp1\llm\run_06,1006,completed,2026-07-11T00:28:27.378095+02:00,900,900.1,8a1ef84052a2,0,14,14,0,0,0,10,4,1.0,0.0,0.7143,3,1.3788,0.4615,0.4615,39181,30359100,30.36,902.077,1874,108,2.6138,29,4.0145,21205,17943,2875,21,18873,16992,21.595481020918267,0.05095946788787842,170.02664451599122,16198.965848452508,367.0,15369.099999999995,20.890074706510138,5.0,39.0,774.8423981011205,919.0,1466.0,0.023023919733036774,3.695487976074219e-05,0.024200463294982866
llm_run07,llm,C:\Users\juanc\Desktop\tfm\exp1\llm\run_07,1007,completed,2026-07-11T01:15:41.064862+02:00,900,932.6,8a1ef84052a2,0,17,17,0,0,0,15,2,1.0,0.0,0.8824,4,1.904,0.25,0.6875,77992,61167706,61.17,935.777,3425,244,2.7707,33,3.9012,49254,28699,8829,56,40888,27784,33.79060763080625,0.07018089294433594,240.43155279159544,17858.4297810219,385.0,14373.999999999975,22.76,6.0,36.0,784.2817981331418,1024.0,1466.0,0.011998530740521846,2.5033950805664062e-05,0.01802539825439453
llm_run08,llm,C:\Users\juanc\Desktop\tfm\exp1\llm\run_08,1008,completed,2026-07-11T02:04:18.334073+02:00,900,902.0,8a1ef84052a2,0,14,14,0,0,0,13,1,1.0,0.0,0.9286,4,1.6106,0.2308,0.5385,54534,37495628,37.5,904.555,3154,256,3.1121,46,4.1393,30583,23904,7227,0,24060,22815,27.396818255047748,0.07353591918945312,222.53792111873628,11887.216867469879,388.0,14700.299999999996,17.27552314521243,6.0,33.0,687.5642351560494,216.5,1466.0,0.01658728982553515,4.57763671875e-05,0.02160811424255371
llm_run09,llm,C:\Users\juanc\Desktop\tfm\exp1\llm\run_09,1009,completed,2026-07-11T02:54:25.446154+02:00,900,901.0,8a1ef84052a2,0,12,12,0,0,0,11,1,1.0,0.0,0.9167,4,1.5511,0.2727,0.6364,59368,39265643,39.27,903.903,3857,322,3.2214,73,5.6797,36039,23295,9426,14,27281,22236,24.83326115211366,0.06507182121276855,94.81982951164238,10179.598133264195,382.0,12736.599999999999,15.38345864661654,6.0,27.0,661.3940675111171,155.0,1466.0,0.015225677799306652,4.8160552978515625e-05,0.0157433271408081
llm_run10,llm,C:\Users\juanc\Desktop\tfm\exp1\llm\run_10,1010,completed,2026-07-11T03:41:29.042974+02:00,900,923.7,8a1ef84052a2,0,14,14,0,0,0,14,0,1.0,0.0,1.0,3,1.4316,0.3846,0.6154,66315,44140955,44.14,926.414,4079,337,3.1114,58,4.8204,38515,27728,11787,21,27060,26846,23.92711322031117,0.08572602272033691,135.23066403865815,10820.244177494484,400.0,14411.199999999993,16.24000980632508,6.0,31.0,665.6254995099148,174.0,1466.0,0.013970118284865427,4.410743713378906e-05,0.017477214336395257
