fuente,perfil,feature,n_runs,n_flows,media,mediana,std,p25,p75,iqr,min,max
ours_regular,regular,duration_s,10,29702,10.365075166184095,0.047594,27.295814268861296,0.0,0.12814350000000002,0.12814350000000002,0.0,119.999422
ours_regular,regular,packets,10,29702,25.12248333445559,4.0,265.42021257428,1.0,10.0,9.0,1.0,25362.0
ours_regular,regular,bytes_payload,10,29702,18244.89209480843,126.0,286463.51435888425,0.0,256.0,256.0,0.0,27977447.0
ours_regular,regular,pkt_size_mean_payload,10,29702,135.49935017843916,14.527999999999999,230.37930081891287,0.0,163.0,163.0,0.0,4661.822
ours_regular,regular,packets_per_s,10,29702,149.85296375250823,0.4729855,1727.3223488426797,0.0,130.88375249999999,130.88375249999999,0.0,99864.380952
ours_regular,regular,bytes_per_s_payload,10,29702,23783.411319394418,113.9724205,176886.9526760191,0.0,2537.390341,2537.390341,0.0,8666868.421491
ours_regular,regular,syn_count,10,29702,0.6993805130967612,0.0,0.9597952818066904,0.0,2.0,2.0,0.0,5.0
ours_regular,regular,psh_count,10,29702,4.700255875025251,0.0,79.34958665972432,0.0,3.0,3.0,0.0,6976.0
ours_regular,regular,ack_count,10,29702,14.069389266716046,1.0,248.33041446281177,0.0,9.0,9.0,0.0,25361.0
ours_regular,regular,fin_count,10,29702,0.6392835499292977,0.0,0.918358229366196,0.0,2.0,2.0,0.0,6.0
ours_regular,regular,rst_count,10,29702,0.058413574843444886,0.0,0.23452778290657375,0.0,0.0,0.0,0.0,1.0
ours_regular,regular,dst_port,10,29702,3334.8724328328058,53.0,11484.91111976183,53.0,443.0,390.0,53.0,65532.0
ours_regular,regular,bytes_wire,10,29702,19483.592923035485,310.0,300358.7293794141,54.0,794.0,740.0,54.0,29347107.0
ours_regular,regular,pkt_size_mean_wire,10,29702,187.25275947747627,70.1,228.035854159679,54.0,205.0,151.0,54.0,4715.915
ours_regular,regular,src_port,10,29702,54073.24227324759,56482.0,12624.448995399625,52000.0,60866.75,8866.75,53.0,65534.0
ours_gamer,gamer,duration_s,5,4200,16.78961881,0.0525575,33.12304676258179,0.0,6.58749075,6.58749075,0.0,119.999229
ours_gamer,gamer,packets,5,4200,205.08404761904762,2.0,1683.5259974455587,1.0,8.0,7.0,1.0,22994.0
ours_gamer,gamer,bytes_payload,5,4200,126743.91285714286,163.0,1181543.4509257213,163.0,2600.0,2437.0,0.0,17927852.0
ours_gamer,gamer,pkt_size_mean_payload,5,4200,371.50192,163.0,469.48375246902737,58.0,383.125,325.125,0.0,1300.0
ours_gamer,gamer,packets_per_s,5,4200,78.40688145261905,0.3625655,1068.7916542846963,0.0,14.7798455,14.7798455,0.0,51463.852761
ours_gamer,gamer,bytes_per_s_payload,5,4200,8689.635914635,53.720138500000004,41146.07195787643,0.0,7452.4140182500005,7452.4140182500005,0.0,2298547.294484
ours_gamer,gamer,syn_count,5,4200,0.19714285714285715,0.0,0.6092807893945513,0.0,0.0,0.0,0.0,5.0
ours_gamer,gamer,psh_count,5,4200,4.467380952380952,0.0,39.07492308984587,0.0,0.0,0.0,0.0,1380.0
ours_gamer,gamer,ack_count,5,4200,23.98595238095238,0.0,349.72366125353716,0.0,1.0,1.0,0.0,14752.0
ours_gamer,gamer,fin_count,5,4200,0.19,0.0,0.5478703709088839,0.0,0.0,0.0,0.0,2.0
ours_gamer,gamer,rst_count,5,4200,0.04285714285714286,0.0,0.20255907102148615,0.0,0.0,0.0,0.0,1.0
ours_gamer,gamer,dst_port,5,4200,13255.670238095237,10002.0,13488.057519435546,443.0,27025.0,26582.0,53.0,65532.0
ours_gamer,gamer,bytes_wire,5,4200,135652.17047619048,360.0,1251992.4750772116,205.0,2684.0,2479.0,54.0,18893600.0
ours_gamer,gamer,pkt_size_mean_wire,5,4200,418.0635759523809,205.0,467.40093626061787,102.4375,425.125,322.6875,50.0,1342.0
ours_gamer,gamer,src_port,5,4200,50332.63476190476,52488.0,12950.129253734563,50144.0,57650.25,7506.25,53.0,65532.0
ours_admin,admin,duration_s,5,2682,3.1733111293810583,2.1e-05,9.18307943310384,0.0,0.02129225,0.02129225,0.0,72.447674
ours_admin,admin,packets,5,2682,75.62527964205816,2.0,207.98549249865206,1.0,7.0,6.0,1.0,1615.0
ours_admin,admin,bytes_payload,5,2682,4007.2255779269203,32.0,10510.3872285275,6.0,58.0,52.0,0.0,72913.0
ours_admin,admin,pkt_size_mean_payload,5,2682,20.22826733780761,4.571,23.664935201096725,3.0,32.0,29.0,0.0,148.005
ours_admin,admin,packets_per_s,5,2682,69665.95419758502,305.162447,151552.5827819369,0.0,67650.064516,67650.064516,0.0,1198372.571429
ours_admin,admin,bytes_per_s_payload,5,2682,1388619.8071567388,1485.547554,3188956.290672867,0.0,8757.900221,8757.900221,0.0,16777216.0
ours_admin,admin,syn_count,5,2682,0.8105891126025354,0.0,0.8858326401297915,0.0,2.0,2.0,0.0,2.0
ours_admin,admin,psh_count,5,2682,49.89000745712155,0.0,141.7427872476761,0.0,1.0,1.0,0.0,1096.0
ours_admin,admin,ack_count,5,2682,74.60663683818046,1.0,207.9884171037751,0.0,6.0,6.0,0.0,1614.0
ours_admin,admin,fin_count,5,2682,0.4198359433258762,0.0,0.8132767948405594,0.0,0.0,0.0,0.0,2.0
ours_admin,admin,rst_count,5,2682,0.28747203579418346,0.0,0.45266794200909233,0.0,1.0,1.0,0.0,1.0
ours_admin,admin,dst_port,5,2682,156.52796420581655,22.0,2065.003205173085,22.0,53.0,31.0,22.0,55032.0
ours_admin,admin,bytes_wire,5,2682,9141.589485458613,144.0,24475.92168377792,90.0,524.0,434.0,68.0,182749.0
ours_admin,admin,pkt_size_mean_wire,5,2682,81.14734377330349,72.0,22.604800412705753,69.0,76.0,7.0,66.0,216.087
ours_admin,admin,src_port,5,2682,46062.72706935123,46408.0,9388.344642389706,39726.0,53496.0,13770.0,22.0,64454.0
baseline_interno,random_baseline,duration_s,10,24354,11.802959692863594,0.048658999999999994,29.53082099827696,0.0,0.12202299999999999,0.12202299999999999,0.0,119.999902
baseline_interno,random_baseline,packets,10,24354,25.606676521310668,2.0,227.13773519061462,1.0,10.0,9.0,1.0,9585.0
baseline_interno,random_baseline,bytes_payload,10,24354,17702.29687115053,135.0,224106.8247504582,0.0,254.0,254.0,0.0,9329355.0
baseline_interno,random_baseline,pkt_size_mean_payload,10,24354,144.24734228463498,17.6,230.48791776299487,0.0,163.0,163.0,0.0,3710.397
baseline_interno,random_baseline,packets_per_s,10,24354,138.43861155543237,0.6666405,1777.948531951657,0.0,136.30435799999998,136.30435799999998,0.0,125203.104478
baseline_interno,random_baseline,bytes_per_s_payload,10,24354,26577.777968499915,143.2089255,232284.50850497623,0.0,2718.32238425,2718.32238425,0.0,7912576.935166
baseline_interno,random_baseline,syn_count,10,24354,0.6146012975281268,0.0,0.9348385097992744,0.0,2.0,2.0,0.0,5.0
baseline_interno,random_baseline,psh_count,10,24354,4.1281514330294815,0.0,61.23182361343684,0.0,3.0,3.0,0.0,3300.0
baseline_interno,random_baseline,ack_count,10,24354,12.654841093865484,1.0,191.80807994145403,0.0,9.0,9.0,0.0,9584.0
baseline_interno,random_baseline,fin_count,10,24354,0.5742383181407572,0.0,0.8924020598397644,0.0,2.0,2.0,0.0,5.0
baseline_interno,random_baseline,rst_count,10,24354,0.04956064712162273,0.0,0.21703991248627025,0.0,0.0,0.0,0.0,1.0
baseline_interno,random_baseline,dst_port,10,24354,3112.724028906956,53.0,10495.215100178872,53.0,443.0,390.0,53.0,65522.0
baseline_interno,random_baseline,bytes_wire,10,24354,18944.07489529441,256.0,235535.20479846932,54.0,776.0,722.0,54.0,9835883.0
baseline_interno,random_baseline,pkt_size_mean_wire,10,24354,194.99624230105934,73.2,228.21459370964504,54.0,205.0,151.0,54.0,3764.474
baseline_interno,random_baseline,src_port,10,24354,54145.75305904574,56230.0,11827.309603841146,51820.0,60596.75,8776.75,53.0,65534.0
baseline_script,script_simple,duration_s,3,4357,6.918143630020656,0.190174,22.014499300739697,0.0,0.425519,0.425519,0.0,119.997841
baseline_script,script_simple,packets,3,4357,130.80537066789074,2.0,1331.7912403723722,1.0,7.0,6.0,1.0,42887.0
baseline_script,script_simple,bytes_payload,3,4357,157180.2081707597,132.0,1656240.031285154,66.0,516.0,450.0,0.0,52893349.0
baseline_script,script_simple,pkt_size_mean_payload,3,4357,186.19622354831307,48.647,301.9613612949666,33.0,163.0,130.0,0.0,3037.884
baseline_script,script_simple,packets_per_s,3,4357,75.59713925223778,4.616369,423.8890844779047,0.0,11.204546,11.204546,0.0,17242.770812
baseline_script,script_simple,bytes_per_s_payload,3,4357,63471.0349573048,152.392941,276122.2519918868,0.0,193.610711,193.610711,0.0,2563980.432978
baseline_script,script_simple,syn_count,3,4357,0.40647234335551985,0.0,0.8110148331990105,0.0,0.0,0.0,0.0,5.0
baseline_script,script_simple,psh_count,3,4357,20.746385127381224,0.0,252.1858521610666,0.0,0.0,0.0,0.0,12902.0
baseline_script,script_simple,ack_count,3,4357,128.81455129676382,0.0,1331.8777609452095,0.0,1.0,1.0,0.0,42886.0
baseline_script,script_simple,fin_count,3,4357,0.3578150103282075,0.0,0.7098879227908564,0.0,0.0,0.0,0.0,2.0
baseline_script,script_simple,rst_count,3,4357,0.08446178563231581,0.0,0.2781110290234596,0.0,0.0,0.0,0.0,1.0
baseline_script,script_simple,dst_port,3,4357,8113.646316272665,5355.0,15187.1989709307,443.0,5355.0,4912.0,53.0,65457.0
baseline_script,script_simple,bytes_wire,3,4357,165304.71356437917,205.0,1743532.3332550009,150.0,906.0,756.0,54.0,55724283.0
baseline_script,script_simple,pkt_size_mean_wire,3,4357,236.9000096396603,95.0,303.5441046878883,75.0,205.0,130.0,54.0,3091.884
baseline_script,script_simple,src_port,3,4357,50426.39935735598,55332.0,17005.220595027997,50522.0,60722.0,10200.0,68.0,65533.0
baseline_publico_ctu,ctu_normal,duration_s,1,2978,12.84614176124916,0.0885465,32.73787658391449,0.0277945,0.41921875,0.39142425,0.0,119.999568
baseline_publico_ctu,ctu_normal,packets,1,2978,153.6061114842176,2.0,1425.1147766503107,2.0,2.0,0.0,1.0,27517.0
baseline_publico_ctu,ctu_normal,bytes_payload,1,2978,128519.97044996642,138.0,1200819.8254157521,101.0,376.0,275.0,0.0,17917451.0
baseline_publico_ctu,ctu_normal,pkt_size_mean_payload,1,2978,108.79308193418402,80.0,129.5221389419511,57.125,105.615,48.489999999999995,0.0,1151.339
baseline_publico_ctu,ctu_normal,packets_per_s,1,2978,281.42369277199464,6.6888505,4810.906853038942,0.06355975,26.24033175,26.176772,0.0,133152.507937
baseline_publico_ctu,ctu_normal,bytes_per_s_payload,1,2978,2494.129349337139,348.3714645,10818.521320989676,0.0,2351.378511,2351.378511,0.0,151433.303563
baseline_publico_ctu,ctu_normal,syn_count,1,2978,0.24076561450638012,0.0,0.6654714257386367,0.0,0.0,0.0,0.0,5.0
baseline_publico_ctu,ctu_normal,psh_count,1,2978,4.823371390194762,0.0,35.83220090763146,0.0,0.0,0.0,0.0,546.0
baseline_publico_ctu,ctu_normal,ack_count,1,2978,89.83075889858966,0.0,940.0260069556235,0.0,0.0,0.0,0.0,14128.0
baseline_publico_ctu,ctu_normal,fin_count,1,2978,0.11652115513767629,0.0,0.45583116256232914,0.0,0.0,0.0,0.0,2.0
baseline_publico_ctu,ctu_normal,rst_count,1,2978,0.06346541302887844,0.0,0.243839127224454,0.0,0.0,0.0,0.0,1.0
baseline_publico_ctu,ctu_normal,dst_port,1,2978,20911.975151108127,13690.0,21873.299022054645,53.0,41345.25,41292.25,53.0,65173.0
baseline_publico_ctu,ctu_normal,bytes_wire,1,2978,137159.20416386836,230.0,1277435.5388904002,143.0,460.0,317.0,54.0,19073165.0
baseline_publico_ctu,ctu_normal,pkt_size_mean_wire,1,2978,156.93250973807926,123.5,129.76089797317312,101.0,167.446,66.446,54.0,1217.341
baseline_publico_ctu,ctu_normal,src_port,1,2978,48050.73673606447,54633.0,15600.694582863505,41408.5,59370.0,17961.5,80.0,62762.0
baseline_publico_ids2018,ids2018_benign,duration_s,1,50000,12.337751591120002,0.026545,30.71956759887136,0.000389,2.8011305,2.8007415,0.0,119.999989
baseline_publico_ids2018,ids2018_benign,packets,1,50000,14.89342,3.0,194.8973016741576,2.0,15.0,13.0,2.0,14024.0
baseline_publico_ids2018,ids2018_benign,bytes_payload,1,50000,7892.37572,172.0,200742.78986425512,31.0,1878.5,1847.5,0.0,13203620.0
baseline_publico_ids2018,ids2018_benign,pkt_size_mean_payload,1,50000,93.05004231999999,64.0,121.70208243142437,7.75,132.0,124.25,0.0,2300.64
baseline_publico_ids2018,ids2018_benign,packets_per_s,1,50000,31865.74377107052,112.61261300000001,222038.49454497342,5.0197335,6578.947368,6573.9276345,0.0,3000000.0
baseline_publico_ids2018,ids2018_benign,bytes_per_s_payload,1,50000,321364.9235404919,1173.1864369999998,4605556.868580351,4.3525445000000005,82595.60803525001,82591.25549075002,0.0,410000000.0
baseline_publico_ids2018,ids2018_benign,syn_count,1,50000,0.04254,0.0,0.20181962992548685,0.0,0.0,0.0,0.0,1.0
baseline_publico_ids2018,ids2018_benign,psh_count,1,50000,0.40478,0.0,0.49085432702524606,0.0,1.0,1.0,0.0,1.0
baseline_publico_ids2018,ids2018_benign,ack_count,1,50000,0.27782,0.0,0.44792863315622955,0.0,1.0,1.0,0.0,1.0
baseline_publico_ids2018,ids2018_benign,fin_count,1,50000,0.00506,0.0,0.07095419008023275,0.0,0.0,0.0,0.0,1.0
baseline_publico_ids2018,ids2018_benign,rst_count,1,50000,0.0635,0.0,0.2438625419755719,0.0,0.0,0.0,0.0,1.0
baseline_publico_ids2018,ids2018_benign,dst_port,1,50000,7691.51754,80.0,17534.545993452935,53.0,3389.0,3336.0,21.0,65530.0
