fuente,perfil,servicio,flows,share,n_flows_fuente,flows_tcp,flows_udp,ratio_tcp_udp
ours_regular,regular,DNS,15916,0.5358561713015959,29702,21553,8149,2.6449
ours_regular,regular,HTTPS,7725,0.26008349606087133,29702,21553,8149,2.6449
ours_regular,regular,QUIC/HTTP3,3216,0.10827553700087536,29702,21553,8149,2.6449
ours_regular,regular,UNKNOWN,2620,0.08820954817857384,29702,21553,8149,2.6449
ours_regular,regular,NTP,155,0.005218503804457613,29702,21553,8149,2.6449
ours_regular,regular,HTTP,70,0.0023567436536260184,29702,21553,8149,2.6449
ours_gamer,gamer,UNKNOWN,2714,0.6461904761904762,4200,1152,3048,0.378
ours_gamer,gamer,HTTPS,792,0.18857142857142858,4200,1152,3048,0.378
ours_gamer,gamer,DNS,320,0.0761904761904762,4200,1152,3048,0.378
ours_gamer,gamer,HTTP,255,0.060714285714285714,4200,1152,3048,0.378
ours_gamer,gamer,NTP,78,0.018571428571428572,4200,1152,3048,0.378
ours_gamer,gamer,QUIC/HTTP3,41,0.009761904761904762,4200,1152,3048,0.378
ours_admin,admin,SSH,1410,0.5257270693512305,2682,1892,790,2.3949
ours_admin,admin,DNS,790,0.29455630126771065,2682,1892,790,2.3949
ours_admin,admin,HTTP,462,0.17225950782997762,2682,1892,790,2.3949
ours_admin,admin,UNKNOWN,20,0.007457121551081283,2682,1892,790,2.3949
baseline_interno,random_baseline,DNS,12583,0.5166707727683337,24354,15780,8574,1.8404
baseline_interno,random_baseline,HTTPS,5932,0.24357395089102407,24354,15780,8574,1.8404
baseline_interno,random_baseline,QUIC/HTTP3,3020,0.12400427034573376,24354,15780,8574,1.8404
baseline_interno,random_baseline,UNKNOWN,2644,0.1085653280775232,24354,15780,8574,1.8404
baseline_interno,random_baseline,NTP,154,0.006323396567299007,24354,15780,8574,1.8404
baseline_interno,random_baseline,HTTP,21,0.0008622813500862281,24354,15780,8574,1.8404
baseline_script,script_simple,UNKNOWN,2260,0.5187055313288961,4357,1672,2685,0.6227
baseline_script,script_simple,HTTPS,1384,0.31764975900849207,4357,1672,2685,0.6227
baseline_script,script_simple,DNS,389,0.08928161579068167,4357,1672,2685,0.6227
baseline_script,script_simple,HTTP,255,0.058526509065871014,4357,1672,2685,0.6227
baseline_script,script_simple,NTP,45,0.010328207482212531,4357,1672,2685,0.6227
baseline_script,script_simple,QUIC/HTTP3,24,0.005508377323846684,4357,1672,2685,0.6227
baseline_publico_ctu,ctu_normal,UNKNOWN,1621,0.5443250503693754,2978,779,2199,0.3543
baseline_publico_ctu,ctu_normal,DNS,1068,0.35862995298858297,2978,779,2199,0.3543
baseline_publico_ctu,ctu_normal,HTTPS,251,0.08428475486903962,2978,779,2199,0.3543
baseline_publico_ctu,ctu_normal,HTTP,31,0.010409670920080591,2978,779,2199,0.3543
baseline_publico_ctu,ctu_normal,NTP,7,0.0023505708529214238,2978,779,2199,0.3543
baseline_publico_ids2018,ids2018_benign,DNS,14997,0.29994,50000,34274,15726,2.1794
baseline_publico_ids2018,ids2018_benign,UNKNOWN,10877,0.21754,50000,34274,15726,2.1794
baseline_publico_ids2018,ids2018_benign,HTTP,10038,0.20076,50000,34274,15726,2.1794
baseline_publico_ids2018,ids2018_benign,HTTPS,7140,0.1428,50000,34274,15726,2.1794
baseline_publico_ids2018,ids2018_benign,RDP,6923,0.13846,50000,34274,15726,2.1794
baseline_publico_ids2018,ids2018_benign,SSH,23,0.00046,50000,34274,15726,2.1794
baseline_publico_ids2018,ids2018_benign,IMAP,1,2e-05,50000,34274,15726,2.1794
baseline_publico_ids2018,ids2018_benign,SMTP,1,2e-05,50000,34274,15726,2.1794
