i,t_rel_s,url,status,bytes,latencia_s,error
1,0.0,https://www.twitch.tv/,200,196782,1.209,
2,10.0,https://www.marca.com/,200,671905,0.503,
3,20.0,https://mail.google.com/,200,938400,1.917,
4,30.0,https://www.wikipedia.org/,200,120361,0.512,
5,40.0,https://www.netflix.com/,ERR,0,2.022,IncompleteRead
6,50.0,https://www.google.com/,200,85036,0.273,
7,60.0,https://www.google.com/,200,85093,0.279,
8,70.01,https://www.amazon.es/,202,0,0.176,
9,80.01,https://www.amazon.es/,202,0,0.139,
10,90.01,https://www.google.com/,200,85103,0.296,
11,100.01,https://www.google.com/,200,85103,0.225,
12,110.01,https://mail.google.com/,200,939213,1.699,
13,120.01,https://www.twitch.tv/,200,196782,1.092,
14,130.01,https://x.com/,200,265403,0.455,
15,140.01,https://www.google.com/,200,84979,0.279,
16,150.01,https://www.youtube.com/,200,823422,0.772,
17,160.01,https://x.com/,200,77112,0.404,
18,170.01,https://www.google.com/,200,85043,0.289,
19,180.01,https://www.google.com/,200,85134,0.237,
20,190.01,https://www.google.com/,200,85087,0.279,
21,200.02,https://www.amazon.es/,202,0,0.146,
22,210.02,https://www.marca.com/,200,672011,0.398,
23,220.02,https://www.netflix.com/,ERR,0,1.977,IncompleteRead
24,230.02,https://www.netflix.com/,200,3215393,3.413,
25,240.02,https://www.google.com/,200,85093,0.295,
26,250.02,https://www.elpais.com/,403,0,0.567,HTTPError
27,260.02,https://www.google.com/,200,85077,0.285,
28,270.02,https://www.youtube.com/,200,822897,0.745,
29,280.02,https://mail.google.com/,200,938682,1.801,
30,290.02,https://www.marca.com/,200,672144,0.425,
31,300.02,https://www.twitch.tv/,200,196782,1.21,
32,310.02,https://www.twitch.tv/,200,196782,1.224,
33,320.02,https://www.wikipedia.org/,200,120361,0.367,
34,330.02,https://x.com/,200,265403,0.464,
35,340.03,https://x.com/,200,265403,0.421,
36,350.03,https://mail.google.com/,200,938895,2.008,
37,360.03,https://www.marca.com/,200,672058,0.439,
38,370.03,https://www.netflix.com/,ERR,0,3.045,IncompleteRead
39,380.03,https://mail.google.com/,200,938188,2.009,
40,390.03,https://www.google.com/,200,85051,0.299,
41,400.03,https://www.amazon.es/,200,2162,0.333,
42,410.03,https://www.netflix.com/,200,3215393,2.034,
43,420.03,https://www.netflix.com/,200,3215387,1.962,
44,430.03,https://www.wikipedia.org/,200,120361,0.346,
45,440.03,https://x.com/,200,77113,0.441,
46,450.03,https://www.twitch.tv/,200,196782,1.291,
47,460.03,https://www.google.com/,200,85273,0.297,
48,470.04,https://www.youtube.com/,200,823025,0.674,
49,480.04,https://www.youtube.com/,200,821618,1.272,
50,490.04,https://www.google.com/,200,85021,0.281,
51,500.04,https://www.marca.com/,200,672091,0.316,
52,510.04,https://www.marca.com/,200,672091,0.327,
53,520.04,https://www.amazon.es/,202,0,0.246,
54,530.04,https://www.youtube.com/,200,821899,0.953,
55,540.04,https://x.com/,200,265403,0.433,
56,550.04,https://x.com/,200,265403,0.401,
57,560.04,https://www.amazon.es/,202,0,0.148,
58,570.04,https://www.google.com/,200,85099,0.251,
59,580.04,https://www.amazon.es/,202,0,0.166,
60,590.04,https://www.google.com/,200,85082,0.264,
61,600.05,https://www.amazon.es/,202,0,0.132,
62,610.05,https://www.marca.com/,200,671990,0.387,
63,620.05,https://www.google.com/,200,85075,0.281,
64,630.05,https://www.marca.com/,200,671990,0.443,
65,640.05,https://www.netflix.com/,ERR,0,1.943,IncompleteRead
66,650.05,https://www.marca.com/,200,671990,0.406,
67,660.05,https://x.com/,200,265403,0.524,
68,670.05,https://www.twitch.tv/,200,196782,1.233,
69,680.05,https://www.youtube.com/,200,840882,1.002,
70,690.05,https://www.elpais.com/,403,0,0.561,HTTPError
71,700.05,https://www.twitch.tv/,200,196782,1.121,
72,710.05,https://www.marca.com/,200,672025,0.407,
73,720.05,https://www.netflix.com/,200,3215381,2.086,
74,730.06,https://www.youtube.com/,200,819894,0.594,
75,740.06,https://x.com/,200,77113,0.403,
76,750.06,https://www.google.com/,200,84938,0.262,
77,760.06,https://www.twitch.tv/,200,196782,1.21,
78,770.06,https://x.com/,200,265403,0.546,
79,780.06,https://www.twitch.tv/,200,196782,1.203,
80,790.06,https://mail.google.com/,200,938435,1.897,
81,800.06,https://www.amazon.es/,202,0,0.16,
82,810.06,https://www.marca.com/,200,672535,0.444,
83,820.06,https://www.google.com/,200,85209,0.235,
84,830.06,https://www.netflix.com/,200,3215387,1.657,
85,840.06,https://www.elpais.com/,403,0,0.439,HTTPError
86,850.06,https://www.wikipedia.org/,200,120361,0.321,
87,860.06,https://www.youtube.com/,200,822214,0.725,
88,870.06,https://www.netflix.com/,ERR,0,2.797,IncompleteRead
89,880.07,https://www.wikipedia.org/,200,120361,0.356,
90,890.07,https://www.netflix.com/,ERR,0,2.235,IncompleteRead
