source,profile,run_id,flow_id,ip_version,protocol,src_ip,dst_ip,src_port,dst_port,duration_s,packets,bytes_wire,bytes_payload,pkt_size_mean_wire,pkt_size_mean_payload,packets_per_s,bytes_per_s_payload,fin_count,syn_count,rst_count,psh_count,ack_count,urg_count,service
baseline_publico_ctu,ctu_normal,ctu_normal_7,ctu_normal_7_0,IPv4,TCP,10.0.0.46,88.171.246.178,53292,40000,0.083177,2,128,0,64.0,0.0,24.045083,0.0,0,1,1,0,1,0,UNKNOWN
baseline_publico_ctu,ctu_normal,ctu_normal_7,ctu_normal_7_1,IPv4,TCP,10.0.0.46,85.17.73.215,47146,54081,0.045907,2,128,0,64.0,0.0,43.566321,0.0,0,1,1,0,1,0,UNKNOWN
baseline_publico_ctu,ctu_normal,ctu_normal_7,ctu_normal_7_2,IPv4,TCP,10.0.0.46,85.17.73.216,45563,54081,0.044256,2,128,0,64.0,0.0,45.191641,0.0,0,1,1,0,1,0,UNKNOWN
baseline_publico_ctu,ctu_normal,ctu_normal_7,ctu_normal_7_3,IPv4,TCP,10.0.0.46,1.34.38.64,58466,13690,13.379394,14,2503,1563,178.786,111.643,1.046385,116.821436,2,2,0,4,13,0,UNKNOWN
baseline_publico_ctu,ctu_normal,ctu_normal_7,ctu_normal_7_4,IPv4,TCP,10.0.0.46,37.48.64.106,43062,54081,0.044358,2,128,0,64.0,0.0,45.087923,0.0,0,1,1,0,1,0,UNKNOWN
baseline_publico_ctu,ctu_normal,ctu_normal_7,ctu_normal_7_5,IPv4,TCP,10.0.0.46,111.253.136.152,36402,25407,0.760169,6,480,68,80.0,11.333,7.892984,89.453817,2,2,0,1,5,0,UNKNOWN
baseline_publico_ctu,ctu_normal,ctu_normal_7,ctu_normal_7_6,IPv4,TCP,10.0.0.46,37.48.64.105,56190,54081,0.043065,2,128,0,64.0,0.0,46.441349,0.0,0,1,1,0,1,0,UNKNOWN
baseline_publico_ctu,ctu_normal,ctu_normal_7,ctu_normal_7_7,IPv4,TCP,10.0.0.46,217.25.237.11,41478,46540,0.085594,2,128,0,64.0,0.0,23.36614,0.0,0,1,1,0,1,0,UNKNOWN
baseline_publico_ctu,ctu_normal,ctu_normal_7,ctu_normal_7_8,IPv4,TCP,10.0.0.46,123.194.198.20,57093,25243,12.351055,13,2247,1373,172.846,105.615,1.052542,111.164592,2,2,0,4,12,0,UNKNOWN
baseline_publico_ctu,ctu_normal,ctu_normal_7,ctu_normal_7_9,IPv4,TCP,10.0.0.46,110.20.170.10,44845,29151,11.44623,8,612,68,76.5,8.5,0.69892,5.940821,2,2,0,1,7,0,UNKNOWN
baseline_publico_ctu,ctu_normal,ctu_normal_7,ctu_normal_7_10,IPv4,TCP,10.0.0.46,88.171.246.178,54587,40000,0.071018,2,128,0,64.0,0.0,28.161882,0.0,0,1,1,0,1,0,UNKNOWN
baseline_publico_ctu,ctu_normal,ctu_normal_7,ctu_normal_7_11,IPv4,TCP,10.0.0.46,85.17.73.215,44394,54081,0.039064,2,128,0,64.0,0.0,51.198125,0.0,0,1,1,0,1,0,UNKNOWN
