source,profile,run_id,flow_id,ip_version,protocol,src_ip,dst_ip,src_port,dst_port,duration_s,packets,bytes_wire,bytes_payload,pkt_size_mean_wire,pkt_size_mean_payload,packets_per_s,bytes_per_s_payload,fin_count,syn_count,rst_count,psh_count,ack_count,urg_count,service
baseline_script,script_simple,script_run01,script_run01_0,IPv4,TCP,192.168.18.134,185.15.58.224,51026,443,0.239149,123,134619,127961,1094.463,1040.333,514.323505,535067.886141,1,2,1,52,122,0,HTTPS
baseline_script,script_simple,script_run01,script_run01_1,IPv4,TCP,192.168.18.134,199.232.193.50,51027,443,0.430364,578,717614,686386,1241.547,1187.519,1343.049472,1594896.807917,1,2,1,109,577,0,HTTPS
baseline_script,script_simple,script_run01,script_run01_2,IPv4,TCP,192.168.18.134,20.50.80.215,51031,443,0.263142,22,14060,12856,639.091,584.364,83.605015,48855.730665,0,2,1,7,21,0,HTTPS
baseline_script,script_simple,script_run01,script_run01_3,IPv4,TCP,192.168.18.134,52.110.20.4,51029,443,0.601813,50,47874,45158,957.48,903.16,83.082276,75036.588031,0,2,1,22,49,0,HTTPS
baseline_script,script_simple,script_run01,script_run01_4,IPv4,TCP,192.168.18.134,52.110.20.4,51028,443,0.601883,55,49105,46119,892.818,838.527,91.379896,76624.535023,0,2,1,23,54,0,HTTPS
baseline_script,script_simple,script_run01,script_run01_5,IPv4,TCP,192.168.18.134,162.159.140.229,51033,443,0.868106,79,90064,85782,1140.051,1085.848,91.002698,98815.107224,1,2,1,29,78,0,HTTPS
baseline_script,script_simple,script_run01,script_run01_6,IPv4,TCP,192.168.18.134,3.174.174.233,51034,443,0.092433,18,7272,6284,404.0,349.111,194.735697,67984.395696,0,2,1,8,17,0,HTTPS
baseline_script,script_simple,script_run01,script_run01_7,IPv4,TCP,192.168.18.134,216.58.205.35,51023,80,0.022081,2,108,0,54.0,0.0,90.575047,0.0,2,0,0,0,2,0,HTTP
baseline_script,script_simple,script_run01,script_run01_8,IPv4,TCP,192.168.18.134,162.159.142.9,51022,80,0.027865,2,108,0,54.0,0.0,71.7748,0.0,2,0,0,0,2,0,HTTP
baseline_script,script_simple,script_run01,script_run01_9,IPv4,TCP,192.168.18.134,199.232.214.172,51021,80,0.028442,3,162,0,54.0,0.0,105.477279,0.0,2,0,0,0,3,0,HTTP
baseline_script,script_simple,script_run01,script_run01_10,IPv4,TCP,192.168.18.134,23.11.40.157,51024,80,0.028615,2,108,0,54.0,0.0,69.893418,0.0,2,0,0,0,2,0,HTTP
baseline_script,script_simple,script_run01,script_run01_11,IPv4,TCP,192.168.18.134,192.178.25.101,57613,443,0.127968,16,7110,6230,444.375,389.375,125.031187,48684.018281,2,2,0,6,15,0,HTTPS
baseline_script,script_simple,script_run01,script_run01_12,IPv4,TCP,192.168.18.134,192.178.25.101,57614,443,0.156558,16,6796,5916,424.75,369.75,102.198522,37787.903584,2,2,0,6,15,0,HTTPS
