source,profile,run_id,flow_id,ip_version,protocol,src_ip,dst_ip,src_port,dst_port,duration_s,packets,bytes_wire,bytes_payload,pkt_size_mean_wire,pkt_size_mean_payload,packets_per_s,bytes_per_s_payload,fin_count,syn_count,rst_count,psh_count,ack_count,urg_count,service
ours_admin,admin,admin_run01,admin_run01_0,IPv4,TCP,10.10.0.2,10.10.0.2,39386,80,1e-05,2,132,0,66.0,0.0,209715.2,0.0,0,1,1,0,1,0,HTTP
ours_admin,admin,admin_run01,admin_run01_1,IPv4,TCP,10.10.0.2,10.10.0.2,39392,80,5e-06,2,132,0,66.0,0.0,364722.086957,0.0,0,1,1,0,1,0,HTTP
ours_admin,admin,admin_run01,admin_run01_2,IPv4,TCP,10.10.0.2,10.10.0.2,57012,22,0.018183,7,524,32,74.857,4.571,384.975126,1759.886291,2,2,0,1,6,0,SSH
ours_admin,admin,admin_run01,admin_run01_3,IPv4,TCP,10.10.0.2,10.10.0.4,46722,80,0.001275,2,138,6,69.0,3.0,1568.843838,4706.531513,0,1,1,0,1,0,HTTP
ours_admin,admin,admin_run01,admin_run01_4,IPv4,TCP,10.10.0.2,10.10.0.4,46736,80,0.001063,2,138,6,69.0,3.0,1881.275622,5643.826867,0,1,1,0,1,0,HTTP
ours_admin,admin,admin_run01,admin_run01_5,IPv4,TCP,10.10.0.2,10.10.0.4,39140,22,0.031012,8,592,32,74.0,4.0,257.966157,1031.86463,2,2,0,1,7,0,SSH
ours_admin,admin,admin_run01,admin_run01_6,IPv4,TCP,10.10.0.2,10.10.0.3,60334,22,0.024281,7,524,32,74.857,4.571,288.28813,1317.888593,2,2,0,1,6,0,SSH
ours_admin,admin,admin_run01,admin_run01_7,IPv4,TCP,10.10.0.2,10.10.0.4,39152,22,13.288086,448,51425,20945,114.788,46.752,33.71441,1576.223946,2,2,0,301,447,0,SSH
ours_admin,admin,admin_run01,admin_run01_8,IPv4,TCP,10.10.0.2,10.10.0.4,52832,22,0.028534,7,524,32,74.857,4.571,245.321925,1121.471658,2,2,0,1,6,0,SSH
ours_admin,admin,admin_run01,admin_run01_9,IPv4,TCP,10.10.0.2,10.10.0.2,57016,22,24.76103,817,90949,35377,111.321,43.301,32.995397,1428.737027,2,2,0,558,816,0,SSH
ours_admin,admin,admin_run01,admin_run01_10,IPv4,TCP,10.10.0.2,10.10.0.3,60340,22,27.412989,331,42509,19985,128.426,60.378,12.074568,729.033959,0,2,1,232,330,0,SSH
ours_admin,admin,admin_run01,admin_run01_11,IPv4,TCP,10.10.0.2,10.10.0.2,40826,80,7e-06,2,132,0,66.0,0.0,299593.142857,0.0,0,1,1,0,1,0,HTTP
ours_admin,admin,admin_run01,admin_run01_12,IPv4,TCP,10.10.0.2,10.10.0.2,40836,80,5e-06,2,132,0,66.0,0.0,419430.4,0.0,0,1,1,0,1,0,HTTP
ours_admin,admin,admin_run01,admin_run01_13,IPv4,TCP,10.10.0.2,10.10.0.2,54264,22,0.056944,8,592,32,74.0,4.0,140.489753,561.95901,2,2,0,1,7,0,SSH
ours_admin,admin,admin_run01,admin_run01_14,IPv4,TCP,10.10.0.2,10.10.0.4,52836,22,19.448482,357,44117,19825,123.577,55.532,18.356188,1019.359748,2,2,0,239,356,0,SSH
ours_admin,admin,admin_run01,admin_run01_15,IPv4,TCP,10.10.0.2,10.10.0.3,42440,80,0.000774,2,138,6,69.0,3.0,2583.494918,7750.484755,0,1,1,0,1,0,HTTP
ours_admin,admin,admin_run01,admin_run01_16,IPv4,TCP,10.10.0.2,10.10.0.3,42444,80,0.000992,2,138,6,69.0,3.0,2016.00769,6048.023071,0,1,1,0,1,0,HTTP
