source,profile,run_id,flow_id,ip_version,protocol,src_ip,dst_ip,src_port,dst_port,duration_s,packets,bytes_wire,bytes_payload,pkt_size_mean_wire,pkt_size_mean_payload,packets_per_s,bytes_per_s_payload,fin_count,syn_count,rst_count,psh_count,ack_count,urg_count,service
ours_gamer,gamer,gamer_run01,gamer_run01_0,IPv4,TCP,192.168.18.4,104.83.34.182,49156,443,0.010796,3,186,24,62.0,8.0,277.878892,2223.031138,1,0,1,1,3,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_1,IPv4,TCP,192.168.18.4,104.83.34.182,49158,443,0.009455,3,186,24,62.0,8.0,317.293593,2538.34874,1,0,1,1,3,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_2,IPv4,TCP,192.168.18.4,104.83.34.182,49157,443,0.011529,3,186,24,62.0,8.0,260.214079,2081.712631,1,0,1,1,3,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_3,IPv4,TCP,192.168.18.4,2.20.253.88,51977,443,5.089642,18,5784,4796,321.333,266.444,3.536594,942.305953,2,2,0,9,17,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_4,IPv4,TCP,192.168.18.4,2.20.253.88,51977,443,0.010506,2,108,0,54.0,0.0,190.364635,0.0,0,0,1,0,1,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_5,IPv4,TCP,192.168.18.4,2.20.253.95,51978,443,0.081079,18,5541,4553,307.833,252.944,222.005681,56155.10369,2,2,0,9,17,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_6,IPv4,TCP,192.168.18.4,2.20.253.88,51979,443,0.079,18,5536,4548,307.556,252.667,227.848112,57569.623033,1,2,1,9,17,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_7,IPv4,TCP,192.168.18.4,2.20.253.95,51980,443,0.075423,18,5557,4569,308.722,253.833,238.653984,60578.336371,1,2,1,9,17,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_8,IPv4,TCP,192.168.18.4,2.20.253.95,51978,443,0.240702,3,193,31,64.333,10.333,12.463549,128.790002,1,0,1,1,2,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_9,IPv4,TCP,192.168.18.4,44.252.201.228,51982,443,2.122071,25,7466,6100,298.64,244.0,11.780944,2874.550343,2,2,0,12,24,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_10,IPv4,TCP,192.168.18.4,44.252.201.228,51982,443,0.0,1,54,0,54.0,0.0,0.0,0.0,0,0,1,0,1,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_11,IPv4,TCP,192.168.18.4,2.20.253.88,51981,443,5.390028,18,5071,4083,281.722,226.833,3.3395,757.50998,2,2,0,7,17,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_12,IPv4,TCP,192.168.18.4,3.126.167.171,51990,443,0.251953,26,8108,6688,311.846,257.231,103.193798,26544.620155,2,2,0,13,25,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_13,IPv4,TCP,192.168.18.4,3.126.167.171,51990,443,0.0,1,54,0,54.0,0.0,0.0,0.0,0,0,1,0,1,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_14,IPv4,TCP,192.168.18.4,44.252.201.228,51991,443,2.192942,25,7213,5847,288.52,233.88,11.400211,2666.281304,1,2,1,12,24,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_15,IPv4,TCP,192.168.18.4,18.184.203.74,51992,443,0.275505,26,7991,6571,307.346,252.731,94.37213,23850.741104,1,2,1,13,25,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_16,IPv4,TCP,192.168.18.4,2.20.253.95,51989,443,15.125605,18,5697,4709,316.5,261.611,1.190035,311.326388,2,2,0,9,17,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_17,IPv4,TCP,192.168.18.4,2.20.253.95,51989,443,0.0,1,54,0,54.0,0.0,0.0,0.0,0,0,1,0,1,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_18,IPv4,TCP,192.168.18.4,2.22.209.117,51971,443,30.725757,61,50467,47157,827.328,773.066,1.985305,1534.770968,1,2,1,26,60,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_19,IPv4,TCP,192.168.18.4,199.232.215.52,51972,443,30.67917,277,308131,293157,1112.386,1058.329,9.028927,9555.571378,1,2,1,66,276,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_20,IPv4,TCP,192.168.18.4,44.252.201.228,51994,443,2.067565,25,7369,6003,294.76,240.12,12.091517,2903.415086,1,2,1,12,24,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_21,IPv4,TCP,192.168.18.4,104.83.34.182,65532,443,31.615182,33,27433,25651,831.303,777.303,1.043802,811.350701,1,0,1,16,33,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_22,IPv4,TCP,192.168.18.4,63.179.37.107,51998,443,0.227352,26,7993,6573,307.423,252.808,114.36016,28911.128021,2,2,0,13,25,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_23,IPv4,TCP,192.168.18.4,63.179.37.107,51998,443,0.0,1,54,0,54.0,0.0,0.0,0.0,0,0,1,0,1,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_24,IPv4,TCP,192.168.18.4,2.20.253.95,51993,443,5.096972,20,5815,4719,290.75,235.95,3.923898,925.843817,2,2,0,9,19,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_25,IPv4,TCP,2.20.253.95,192.168.18.4,443,51993,0.0,1,54,0,54.0,0.0,0.0,0.0,0,0,1,0,0,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_26,IPv4,TCP,2.20.253.95,192.168.18.4,443,51993,0.0,1,54,0,54.0,0.0,0.0,0.0,0,0,1,0,0,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_27,IPv4,TCP,192.168.18.4,44.252.201.228,52000,443,2.095614,25,7373,6007,294.92,240.28,11.929678,2866.463063,2,2,0,12,24,0,HTTPS
